Date,Open,High,Low,Close,Adj Close,Volume
1/14/2009,1356.790039,1356.790039,1356.790039,1356.790039,1356.790039,0
1/15/2009,1358.640015,1358.640015,1358.640015,1358.640015,1358.640015,0
1/16/2009,1368.920044,1368.920044,1368.920044,1368.920044,1368.920044,0
1/20/2009,1296.630005,1296.630005,1296.630005,1296.630005,1296.630005,0
1/21/2009,1353.329956,1353.329956,1353.329956,1353.329956,1353.329956,0
1/22/2009,1332.839966,1332.839966,1332.839966,1332.839966,1332.839966,0
1/23/2009,1340.02002,1340.02002,1340.02002,1340.02002,1340.02002,0
1/26/2009,1347.469971,1347.469971,1347.469971,1347.469971,1347.469971,0
1/27/2009,1362.180054,1362.180054,1362.180054,1362.180054,1362.180054,0
1/28/2009,1408.069946,1408.069946,1408.069946,1408.069946,1408.069946,0
1/29/2009,1361.540039,1361.540039,1361.540039,1361.540039,1361.540039,0
1/30/2009,1330.51001,1330.51001,1330.51001,1330.51001,1330.51001,0
2/2/2009,1329.810059,1329.810059,1329.810059,1329.810059,1329.810059,0
2/3/2009,1350.890015,1350.890015,1350.890015,1350.890015,1350.890015,0
2/4/2009,1341.77002,1341.77002,1341.77002,1341.77002,1341.77002,0
2/5/2009,1363.819946,1363.819946,1363.819946,1363.819946,1363.819946,0
2/6/2009,1401.060059,1401.060059,1401.060059,1401.060059,1401.060059,0
2/9/2009,1403.189941,1403.189941,1403.189941,1403.189941,1403.189941,0
2/10/2009,1334.300049,1334.300049,1334.300049,1334.300049,1334.300049,0
2/11/2009,1345.5,1345.5,1345.5,1345.5,1345.5,0
2/12/2009,1348.150024,1348.150024,1348.150024,1348.150024,1348.150024,0
2/13/2009,1334.829956,1334.829956,1334.829956,1334.829956,1334.829956,0
2/17/2009,1274.26001,1274.26001,1274.26001,1274.26001,1274.26001,0
2/18/2009,1273.290039,1273.290039,1273.290039,1273.290039,1273.290039,0
2/19/2009,1258.819946,1258.819946,1258.819946,1258.819946,1258.819946,0
2/20/2009,1244.719971,1244.719971,1244.719971,1244.719971,1244.719971,0
2/23/2009,1201.560059,1201.560059,1201.560059,1201.560059,1201.560059,0
2/24/2009,1249.76001,1249.76001,1249.76001,1249.76001,1249.76001,0
2/25/2009,1236.73999,1236.73999,1236.73999,1236.73999,1236.73999,0
2/26/2009,1217.48999,1217.48999,1217.48999,1217.48999,1217.48999,0
2/27/2009,1188.839966,1188.839966,1188.839966,1188.839966,1188.839966,0
3/2/2009,1133.430054,1133.430054,1133.430054,1133.430054,1133.430054,0
3/3/2009,1126.180054,1126.180054,1126.180054,1126.180054,1126.180054,0
3/4/2009,1153.349976,1153.349976,1153.349976,1153.349976,1153.349976,0
3/5/2009,1104.380005,1104.380005,1104.380005,1104.380005,1104.380005,0
3/6/2009,1106,1106,1106,1106,1106,0
3/9/2009,1095.040039,1095.040039,1095.040039,1095.040039,1095.040039,0
3/10/2009,1164.829956,1164.829956,1164.829956,1164.829956,1164.829956,0
3/11/2009,1168.069946,1168.069946,1168.069946,1168.069946,1168.069946,0
3/12/2009,1215.869995,1215.869995,1215.869995,1215.869995,1215.869995,0
3/13/2009,1225.319946,1225.319946,1225.319946,1225.319946,1225.319946,0
3/16/2009,1221.030029,1221.030029,1221.030029,1221.030029,1221.030029,0
3/17/2009,1260.290039,1260.290039,1260.290039,1260.290039,1260.290039,0
3/18/2009,1286.619995,1286.619995,1286.619995,1286.619995,1286.619995,0
3/19/2009,1269.930054,1269.930054,1269.930054,1269.930054,1269.930054,0
3/20/2009,1244.859985,1244.859985,1244.859985,1244.859985,1244.859985,0
3/23/2009,1333.209961,1333.209961,1333.209961,1333.209961,1333.209961,0
3/24/2009,1306.030029,1306.030029,1306.030029,1306.030029,1306.030029,0
3/25/2009,1318.609985,1318.609985,1318.609985,1318.609985,1318.609985,0
3/26/2009,1349.369995,1349.369995,1349.369995,1349.369995,1349.369995,0
3/27/2009,1322.189941,1322.189941,1322.189941,1322.189941,1322.189941,0
3/30/2009,1322.189941,1322.189941,1263.810059,1276.219971,1276.219971,0
3/31/2009,1276.160034,1313.25,1276.160034,1292.97998,1292.97998,0
4/1/2009,1293.22998,1318.959961,1270.180054,1314.630005,1314.630005,0
4/2/2009,1314.699951,1370.699951,1314.699951,1352.469971,1352.469971,0
4/3/2009,1352.5,1365.660034,1340.069946,1365.660034,1365.660034,0
4/6/2009,1365.660034,1365.660034,1333.719971,1354.359985,1354.359985,0
4/7/2009,1355.209961,1355.209961,1321.25,1322.910034,1322.910034,0
4/8/2009,1322.900024,1343.75,1321.75,1338.530029,1338.530029,0
4/9/2009,1338.550049,1390.050049,1338.550049,1389.48999,1389.48999,0
4/13/2009,1389.48999,1402.030029,1371.27002,1393.130005,1393.130005,0
4/14/2009,1393.040039,1393.040039,1362.819946,1365.199951,1365.199951,0
4/15/2009,1365.22998,1383.800049,1355.630005,1382.359985,1382.359985,0
4/16/2009,1382.400024,1412.030029,1374.449951,1403.890015,1403.890015,0
4/17/2009,1403.890015,1420.76001,1396.680054,1410.849976,1410.849976,0
4/20/2009,1410.849976,1410.849976,1350.48999,1350.52002,1350.52002,0
4/21/2009,1350.52002,1379.319946,1341.48999,1379.219971,1379.219971,0
4/22/2009,1379.5,1398.359985,1364.040039,1368.920044,1368.920044,0
4/23/2009,1368.939941,1384.119995,1355.800049,1382.52002,1382.52002,0
4/24/2009,1382.52002,1414.390015,1382.52002,1405.73999,1405.73999,0
4/27/2009,1405.73999,1410,1386.959961,1391.579956,1391.579956,0
4/28/2009,1391.630005,1402.660034,1374.75,1387.819946,1387.819946,0
4/29/2009,1387.98999,1431.77002,1387.98999,1417.98999,1417.98999,0
4/30/2009,1418.079956,1442.290039,1409.73999,1416.72998,1416.72998,0
5/1/2009,1416.75,1429.199951,1405.77002,1424.410034,1424.410034,0
5/4/2009,1424.410034,1473.609985,1424.410034,1472.640015,1472.640015,0
5/5/2009,1472.829956,1473.72998,1456.75,1467.25,1467.25,0
5/6/2009,1467.76001,1494.439941,1467.76001,1493.310059,1493.310059,0
5/7/2009,1493.390015,1509.709961,1463.839966,1473.660034,1473.660034,0
5/8/2009,1473.660034,1510.800049,1473.660034,1509.140015,1509.140015,0
5/11/2009,1509.140015,1509.140015,1475.839966,1477.199951,1477.199951,0
5/12/2009,1477.27002,1487.689941,1456.569946,1475.829956,1475.829956,0
5/13/2009,1475.819946,1475.819946,1434.319946,1436.73999,1436.73999,0
5/14/2009,1436.300049,1459.680054,1434.140015,1451.170044,1451.170044,0
5/15/2009,1451.430054,1458.040039,1429.079956,1435.47998,1435.47998,0
5/18/2009,1435.47998,1479.5,1435.47998,1479.23999,1479.23999,0
5/19/2009,1479.23999,1479.23999,1476.939941,1476.939941,1476.939941,0
5/20/2009,1476.939941,1503.780029,1466.040039,1469.469971,1469.469971,0
5/21/2009,1469.910034,1469.910034,1431.180054,1445.280029,1445.280029,0
5/22/2009,1445.310059,1458.829956,1437.930054,1443.140015,1443.140015,0
5/26/2009,1443.150024,1483.439941,1434.130005,1481.099976,1481.099976,0
5/27/2009,1481.380005,1487.119995,1451.359985,1453.280029,1453.280029,0
5/28/2009,1453.52002,1480.209961,1444.650024,1475.939941,1475.939941,0
5/29/2009,1475.939941,1497.390015,1471.119995,1495.969971,1495.969971,0
6/1/2009,1495.969971,1542.589966,1495.969971,1534.650024,1534.650024,0
6/2/2009,1534.589966,1544.97998,1527.430054,1537.689941,1537.689941,0
6/3/2009,1537.98999,1537.98999,1504.099976,1516.880005,1516.880005,0
6/4/2009,1517.170044,1534.609985,1513.060059,1534.589966,1534.589966,0
6/5/2009,1534.680054,1549.680054,1521.140015,1530.810059,1530.810059,0
6/8/2009,1530.810059,1540.380005,1508.599976,1529.589966,1529.589966,0
